CWE ID,Project Name,Actual Vulnerabilities
CWE-798,keycloak,237
CWE-319,glassfish,148
CWE-918,glassfish,113
CWE-79,glassfish,110
CWE-23,glassfish,105
CWE-798,cxf,98
CWE-113,keycloak,94
CWE-798,glassfish,75
CWE-611,glassfish,61
CWE-470,hadoop,58
CWE-601,keycloak,55
CWE-400,hadoop,53
CWE-23,cxf,49
CWE-798,hive,47
CWE-611,cxf,45
CWE-918,cxf,42
CWE-798,james-project,35
CWE-78,hive,31
CWE-352,incubator-hugegraph-toolchain,30
CWE-209,glassfish,29
CWE-798,hsqldb,29
CWE-547,keycloak,29
CWE-23,hsqldb,24
CWE-798,vert.x,24
CWE-23,hive,23
CWE-23,hadoop,22
CWE-732,flink,18
CWE-79,undertow,18
CWE-23,flink,17
CWE-798,hadoop,16
CWE-614,keycloak,16
CWE-918,keycloak,16
CWE-798,undertow,16
CWE-113,glassfish,15
CWE-1004,keycloak,15
CWE-798,nifi,15
CWE-79,openmeetings,15
CWE-295,glassfish,14
CWE-319,undertow,14
CWE-78,glassfish,13
CWE-295,keycloak,13
CWE-319,nifi,13
CWE-918,undertow,13
CWE-916,undertow,12
CWE-113,cxf,11
CWE-470,flink,10
CWE-916,hive,10
CWE-798,netty,10
CWE-1004,glassfish,9
CWE-470,glassfish,9
CWE-611,hadoop,9
CWE-89,hsqldb,9
CWE-319,james-project,9
CWE-113,netty,9
CWE-547,cxf,8
CWE-601,glassfish,8
CWE-90,glassfish,8
CWE-916,glassfish,8
CWE-916,hadoop,8
CWE-89,hive,8
CWE-470,hsqldb,8
CWE-23,nifi,8
CWE-798,dubbo,7
CWE-319,flink,7
CWE-614,glassfish,7
CWE-89,glassfish,7
CWE-79,hadoop,7
CWE-942,hive,7
CWE-23,undertow,7
CWE-1004,cxf,6
CWE-798,fitnesse,6
CWE-319,hadoop,6
CWE-918,hadoop,6
CWE-23,infinispan,6
CWE-502,infinispan,6
CWE-79,keycloak,6
CWE-916,nifi,6
CWE-1004,undertow,6
CWE-614,undertow,6
CWE-134,cxf,5
CWE-79,dubbo,5
CWE-601,hadoop,5
CWE-319,hive,5
CWE-798,incubator-hugegraph-toolchain,5
CWE-1004,netty,5
CWE-319,netty,5
CWE-547,netty,5
CWE-916,netty,5
CWE-113,nifi,5
CWE-295,cxf,4
CWE-319,cxf,4
CWE-326,cxf,4
CWE-327,cxf,4
CWE-208,flink,4
CWE-326,glassfish,4
CWE-501,glassfish,4
CWE-113,hadoop,4
CWE-208,hadoop,4
CWE-295,hadoop,4
CWE-502,hive,4
CWE-942,james-project,4
CWE-326,keycloak,4
CWE-916,keycloak,4
CWE-614,netty,4
CWE-798,openmeetings,4
CWE-1004,OpenRefine,4
CWE-23,OpenRefine,4
CWE-614,OpenRefine,4
CWE-798,OpenRefine,4
CWE-918,OpenRefine,4
CWE-295,vert.x,4
CWE-916,cxf,3
CWE-942,dubbo,3
CWE-074,glassfish,3
CWE-208,glassfish,3
CWE-1004,hadoop,3
CWE-614,hadoop,3
CWE-732,hadoop,3
CWE-1004,hive,3
CWE-319,infinispan,3
CWE-611,infinispan,3
CWE-547,james-project,3
CWE-23,keycloak,3
CWE-470,keycloak,3
CWE-23,netty,3
CWE-295,netty,3
CWE-547,nifi,3
CWE-23,openmeetings,3
CWE-113,OpenRefine,3
CWE-23,opentsdb,3
CWE-916,vert.x,3
CWE-280,wire-avs,3
CWE-208,cxf,2
CWE-501,cxf,2
CWE-601,cxf,2
CWE-614,cxf,2
CWE-916,dubbo,2
CWE-319,fitnesse,2
CWE-798,flink,2
CWE-78,hadoop,2
CWE-89,hadoop,2
CWE-113,hive,2
CWE-614,hive,2
CWE-79,hive,2
CWE-23,incubator-hugegraph-toolchain,2
CWE-470,infinispan,2
CWE-798,infinispan,2
CWE-208,james-project,2
CWE-295,james-project,2
CWE-134,keycloak,2
CWE-327,keycloak,2
CWE-89,keycloak,2
CWE-942,keycloak,2
CWE-208,netty,2
CWE-601,nifi,2
CWE-611,nifi,2
CWE-78,nifi,2
CWE-295,openmeetings,2
CWE-547,openmeetings,2
CWE-916,openmeetings,2
CWE-400,OpenRefine,2
CWE-79,OpenRefine,2
CWE-916,OpenRefine,2
CWE-113,undertow,2
CWE-470,undertow,2
CWE-601,undertow,2
CWE-113,vert.x,2
CWE-256,cxf,1
CWE-470,cxf,1
CWE-79,cxf,1
CWE-942,cxf,1
CWE-352,dubbo,1
CWE-256,fitnesse,1
CWE-916,flink,1
CWE-918,flink,1
CWE-134,glassfish,1
CWE-200,glassfish,1
CWE-256,glassfish,1
CWE-547,glassfish,1
CWE-326,hadoop,1
CWE-327,hive,1
CWE-330,hive,1
CWE-601,hive,1
CWE-732,hive,1
CWE-918,hive,1
CWE-400,hsqldb,1
CWE-918,hsqldb,1
CWE-1004,incubator-hugegraph-toolchain,1
CWE-113,incubator-hugegraph-toolchain,1
CWE-400,incubator-hugegraph-toolchain,1
CWE-614,incubator-hugegraph-toolchain,1
CWE-916,incubator-hugegraph-toolchain,1
CWE-942,incubator-hugegraph-toolchain,1
CWE-295,infinispan,1
CWE-547,infinispan,1
CWE-918,infinispan,1
CWE-326,james-project,1
CWE-347,james-project,1
CWE-502,james-project,1
CWE-79,james-project,1
CWE-916,james-project,1
CWE-330,keycloak,1
CWE-400,keycloak,1
CWE-501,keycloak,1
CWE-611,keycloak,1
CWE-114,netty,1
CWE-327,netty,1
CWE-78,netty,1
CWE-208,nifi,1
CWE-297,nifi,1
CWE-614,nifi,1
CWE-79,nifi,1
CWE-89,nifi,1
CWE-918,nifi,1
CWE-113,openmeetings,1
CWE-918,openmeetings,1
CWE-613,OpenRefine,1
CWE-295,undertow,1
CWE-23,vert.x,1
CWE-918,vert.x,1
