Project Name,VulnLocAI,ChatGPT 5,Claude 4.5 Sonnet,Gemini 2.5 Flash,llama3.2 (1B)
glassfish,89%,86%,83%,81%,70%
keycloak,93%,86%,83%,81%,70%
cxf,100%,86%,83%,81%,70%
hadoop,87%,87%,82%,81%,69%
hive,87%,87%,84%,82%,70%
undertow,86%,86%,85%,84%,69%
hsqldb,88%,88%,83%,79%,71%
nifi,89%,89%,85%,84%,69%
flink,87%,87%,83%,83%,72%
james-project,88%,88%,83%,82%,70%
netty,87%,87%,80%,80%,67%
incubator-hugegraph-toolchain,88%,88%,86%,84%,72%
vert.x,89%,89%,83%,80%,71%
OpenRefine,83%,83%,80%,80%,70%
openmeetings,90%,90%,83%,83%,67%
infinispan,92%,92%,84%,84%,68%
dubbo,94%,89%,83%,83%,67%
fitnesse,89%,89%,89%,89%,67%
opentsdb,100%,100%,67%,67%,67%
wire-avs,100%,100%,67%,67%,67%
